text,target
vng buy vs sell,1
bac number consolidation level close number market stable pm imho,1
vng parabolic moves comin ',1
new sony preowne block tech patent unearth sne number gme profit pre own turn light,0
like vs love wynn number entry new target yesterday number nice,1
user spx number wave iv number point low number key esf hod number neckline number bearish,0
ddd consolidate strong previous day number number buy point number volume hold,1
vng number mil share short plus long buy massive vng short squeeze thought story dead avicher kill short thesis,1
wow good bks t user sale nook number holiday,0
ac watch list volume pick number day average 200day bounce,1
new wightwatcher ad fun light regular people interesting do not trust wtw position,0
amzn hold buy point clear upper trend line heavy volume,1
ma exactly want follow day break new high volume,1
zcs user there be buy,1
aap spy qe number bring geithner,0
extend stock market unexpected news fed minute esd panicky esf nqf,0
spy ncle ben need spice thing little aap people bored wake,0
aap close low day bear control descend trendline watch,0
fan seek 200d I m add synthetic short add 200d,0
cwst low day number near high day number watchn bout minimal risk,1
gme gamestop short target spy,0
time cloud stock vmw cm,0
bac overniight mmy pos bin premarket tmorrow,1
polk expect number s new vehicle egistration number million polk f gm think low,1
bullish market talk trend scty ost angi fio panw jcp p yep mnst gpn,1
bac happen,0
kcg buy 322k number jan number call,1
man do not know skippy thiswould throw jar h hormel,1
big bond today number month high number y rate go low znf truly ugly good nfp number spy tt,1
market wrap video addition watch ist include bcei bji cee es sons sqnm nx yep,1
maybe vrng ask judge number royalty risky goog deal want settle,1
bji number good volume,1
cee number,1
sqnm number,1
nx flag break,1
3d system bring nextgen consumer 3d printing ces number ddd,1
aap april aston kutcher stars ' job ' kinda like facebook ' social network ' come fb,0
vng w macd turn signal line vng post nice rally current level,1
pi 3q 10q operational cash flow 9mos 20million 269decline vs 9mos year ago,0
bbby 3q 10q operational cash flow number million number increase vs year ago q3 number improvement q o q,1
di 6mos operational cash flow number million increase number million vs6mos year ago number increase,1
3q 10q 9mos operational cash flow number million vs neg number mil 9mos year ago,1
3q operational cash flow neg number million vs year ago 3q negative 68million number million improvement,1
quiet carl icahn bullish nfx short paranoid close acquire think aapl msft amzn fb,1
aapl bull break trend line obv,0
user phantom7 I have call number start thing number give kcg,1
nx watch list small flag volume number ave day good volume,1
goog poise clear resistance buy add area watch action volume closely,1
gdp watch list slightly line 50day ema light volume number ave day,1
take profit ddd add break number volume,1
chk I be look small risk position call scalp maybe swe xe watch,1
onty holder hold raise ask pop going climb slowly regardless,1
eog pxd oas energyswag,1
aap moving volume could not cope descend trend line trend number impossible,0
aap 50ema continue work aap make low high maco sense,0
go short spy yesterday pick aap instead think market need bit resume upside,0
aap people realistic market undecided apple earning lift cloud good eay reversal,0
watch close carefully decide ong shoot aap number shoot,0
jcp eye triangle big short int number report feb number cup handle dt ong,1
sell little goog time,1
nice cup handle breakout mca,1
faf new high,1
spy give aap finger do not care anymore lol,0
smithcorona ok amzn,1
va ong number trail stop number number stop number number number number number number number,1
amzn alert update minute push try shake put we be hang,0
aap volume higher today monday mind,1
hba ong number trail stop number number prior stop number number number,1
key panic aap domain twitchy day trader robot long term hold fundamental,1
nvda number hour love vol explode,1
vng hard look goog ftc settlement patent ftc make goog play nice vng make sense,1
worried go oco number goog door step nearly number,1
vng crazy listen trade tool,1
goog getting fuel aap 's reversal,1
user bby offer shave number offer price bid go number number matter month,0
nvda answer question entry add red candle 1050am today ove flag,1
aap number lot bid feb number number push stock create support number delta option,1
wpi short candidate list number miss get start short today,0
mye break,1
short ht number sma stop high day target number second target number gap fill,0
qcom introduce streamboost average home connect seven device internet,1
nvda love momo week like previous histogram bar note,0
hma unusual option activity trader buy 11k jan number short term bear play,0
adbe option trader buy number feb 39c oi number bet stock number feb 16th,1
nvda ook bullish stay number closing basis monthly ep,0
sqnm watch list line volume number ave day,1
hott fail breakout,0
znf tick I would seller sdjpy be not,0
ino wow nice accumulation today heavy,1
znga fat juicy short low level close gap number,0
gdot nice bounce 50sma ook ready test recent high,1
hma ooking number 's head high,1
spf ooking number 's head high low rate,1
gs jpm xf hod hungry stock spy,1
chk weekly bullish engulfing,1
gs look good heading week,1
aap know ipad minis stock go number different store em stock,1
goog explode aapl implode minte number number user vid year ago mark nail subject,1
kkd krispy kreme doughnuts inc ic xchange conference I ve number number et,1
pick fs pullback downgrade hold support close week pt number,1
user I have pick I be call kkd food company dpz like run twenty13,1
znga show red dead enko view pf box size number,0
gs enko view gs pf box size number show potential break number,1
nvda enko view show red dead need number long number short,0
csx enko view pf box size number vey bullish number coal stock confirm rail,1
goog enko w pf box size number look like fail breakout,0
user number gs bullish fin rate low fed,1
user znga use lag indicator lag stock,0
goog like close number,1
fs bo bull flag heavy vol et support today light vol number short float,1
msft gap close continue base si rise nice pickup w stop major support number pt,1
financial continue rip easy money c approach number pt,1
vs follow throughs number dma crossing number dma trading ma 's great setup,1
user bac yeah easy profit slash job close winwin sale,0
new buy today watch list nx number son yep bcei gdp ay sqnm total trigger week number big week,1
sbx si earththis kind stuff make perk sorrybut onbullish wave number,1
brainier ong sbac stock number feb collar protection,1
svu deal go number number sure upside left,1
nvda bounce continue stock clear 200sma number level ong,1
axti momentum pick w macd climbingsi risingobv indicator new higher high week,1
gdot obv move upwards mean big money move stock slowly ong,1
aapl daily note,1
amzn daily note,1
c daily note,1
egov long number strong ma 's restingbase room upper bolly absorb number day atr,1
aa fibs friend,1
tsa judge dismiss massachusetts state automobile dealers association awsuit,1
bac trending do not appear slow it be prudent profit time,1
fe look like fire sell signal friday trade short tick friday low work utility later,0
coh get reject cloud slight uptrend past buy enter cloud,1
yum look good cloud stop number sma cloud target number sma,1
eqix expe fb gs hog mon pii qcom qih soda idea week favorite setup eqix,1
eqix position like breakout number prefer consolidation,1
time contraction aapdown test number week wedslong jan11th number spread,0
aap bounce come,1
fs en fuego,1
axa oversell oscillating angeindicator suggest buy price hold prev close increase volume,1
I be hold check user bullish macd cross bbg cop eni eog jec ig sfy xe xop,1
jds beautiful trend number bring dip buyer,1
ko trouble stay number day sma past week short high stop number,0
mako red day monday break support test old low number,0
afterhour advanced opt mako fod gnmk jds ege amn px aay ddd sv pm bks f,1
goog simple fibonacci projection close number number number number number,1
buy aap monday,1
user amzn number measure number,1
user ino pipeline partnerships ni 's mkthat pretty sum,1
amzn data company retailer new post,1
trading environment favor long do not stay welcome quality leader gs amh ocn egn hov aap,0
aap amazing run number do not think it be,1
tale stock aap goog spy qqq,1
f ford 's powerful bullish pattern dictate price direction,1
dt descend triangle ower high do not participate rally it be overbought,0
cva number,1
mck number,1
vmed know prefer number day pullback reverse maybe mon tuesday flag break sup,1
kid legible version currently long f tweet friday,1
ford perform hurricane sandy 's destruction f palladium pa bank buy pick bac c san gs,1
gs buy pullback number big pullback number,1
ceg watch list,1
wish tv die like newspaper tell cbs ftw,1
think aap head check number support,0
amzn butyap yap yap,1
sndk pattern look interesting successfully break gap time,1
amzn alltime high premarket aapl plunge interesting trading day,1
risk esf number bearish momentum divergence resolve spx spy stock,0
user onxx strong price vol expansion friday possibly look high price biotech number level,1
znga momentum building upside watch,1
es watch list fast today volume number ave day usually tiny volume,1
twi like long number short,1
green weekly triangle heopdate,0
eog number min pullback breakout watch number position,1
kcg number,1
zcs hit stop lossglad head,1
aap close short nice gain,0
v beautiful uptrend june ' number break high high high low trend,1
awesome aap trendline number,0
ddd ong number trail stop number number prior stop number number number number number number number,1
nx large watch list gainer new buy friday big mover today protect gain,1
green weekly triangle ktospdate,0
ak correct pphm large watch list gainer today gap big open,1
aap positive close number today bullish I will look possible ong set,1
ceg possible ong today want play jpmogan biotech conference,1
fme ong number trail stop number number prior stop number number number number number number number,1
show ma friday upside orange dot traget number hit morn red dot,0
trigger number target number,1
sxc break key downward channel level ikely higher,1
follow young man user amzn data company retailer new post,1
pg short,0
ovti downgrade sept 7th number q1 look good filing q3 end feb,0
vs option trader sell 26k number number spread march big bet stock number march expiry,0
aa option trader bet bad earning selling number jan 9c buying number jan 9p hedge stock trade low oi,0
skx q3 operational cash flow negative 60million 80million decline vsq3 number,0
skx number mos number operational cash flow negative number million number million decline vs 9mos number,0
ed weekly triangle snsspdate,1
bac avrg number,1
trade come vacation hot short number stop number,0
green weekly triangle sccpdate,0
podd break new 52wk high decent base,1
number horseman high beta momo chase fs gmc nfx slam bit advanced tell new year party mrkt,0
pna look like solid set,1
name buy pullback gs ceg fb f,1
ba flush,0
amazon break number adjust split user amzn,1
financial xf driving mkt high today weakish jpm 1st time little red flag number,0
I ve broadcast get long signal pcn cover discount buyin need push,1
amzn vome big boy grab stock high price come,1
twi high see september,1
user win gold number stock contest w v win silver number w tkc ddaif win number,1
amzn fb pick high price week break considerable volume,1
eceryone want piece pcn gorwth magicstake highinnovation fast marketing stake high,1
user scheplick it be easy short amzn buy ipad mini tax prep book border ackspace time,0
open position s today cup handle fly number quickly,1
cs kos positive nice reversal kos,1
axp try get interesting,1
ma strong follow day break new high friday confirmation solid,1
v new high look high price,1
ceg strong breakout new high today 2x daily avg volume ook good upside,1
wetf cheap financial stock try bo like pullbackconsolidation,1
nfx short paranoid close buyout come number night aapl msft goog amzn etc dominate webtv long nflx,1
number session hour buyer money need work money flow spy tt esf,1
user stock be not tell new trend say lot e aap 's anticipated year,1
rax set spy,1
pcn long entry,1
green weekly triangle ampesell short number,0
green weekly monthly triangle fwspdate monthly,0
user say zagg number,0
green weekly monthly triangle pabpdate,0
number great level close goog,1
aap shortterm outlook number possible scenario number bullish,1
barclay upside case csod year end price target number base 8x cy'number revenues number upside estimate achievable,1
ctxs conservative swing bounce nicely support wvolume mcp aggressive swing strong probability,1
user amzn it be time bird fly south,0
vvs technical positive continue climb si obv macd look good,1
akx bout number like base action spot decline vol ripe pop,1
hao bout number price reject number today high number,1
hway bout number nice base spot,1
yum premarket cloud support number,0
multiday downswing esf favor demand zone number spx spy stock,0
mon make sale buyer weakness look like game,1
fin 9mos operational cash flow decline 15million vs prior yr 9mos number decline,0
ayi q1 operational cash flow turn negative,0
ayi 1st negative operational cash flow quarter quarter novemebr number,0
ayi number q1 operational cash flow negative number million decline number million vs q1 number number decline,0
number bid hit aapl expect number today,1
mon number q1 operational cash flow number billion number million increase vs number q1 number increase,1
fio air stock number,0
aap daily fade motion people want work,0
shorted nfx number stop,0
ctic get long,1
catch user hot ink totally hook morning great read aap maco,1
ihs year end operational cash flow decline number million vs number number decline,0
watch xf jpm bac od closely,0
unit cost number bounce ctic,1
little whip pop drop do not purchase avg day limit exposure portfolio ctic,1
shd short big exiting imo sit number put,0
mon add,1
you would like gag new american socialism enjoy video courtesy aig,0
jnp add,1
x add,1
user mr florida hope you have trade save past I m ask like ooke fill gap,1
shd will not die ampert do not know number sht run retail buy sears property,0
wn ong number trail stop number number prior stop number number number number number number,1
deck short number trail stop number number prior stop number number number number number,0
wfm short,0
nice base building number number ctic test hod 's afternoon set nicely follow tomorrow tradeoftheweek,1
number million share ctic 10x avg daily vol do not think day story gap number plenty rm run imho,1
shd eddie ampert number trick pony,0
et angry anecdotal comment begin think blackberry I m doom imm aap goog nok t vz,0
user think aap put long term bottomof course wrong look like,1
price alert desk,0
gg delist soon typicall pump dump story month careful day trade mil day ur stick,0
tso option trader buy 10k feb 40p number number million bet stock number feb exp hedge oi number,0
ddd ssy stop honor mustnotbecomebearshitter,0
cybx keep consolidate near alltime high,1
ddd sentiment stock change blink eye faint heart long term bullish,1
mcp number strong esistance nder levelshort breakout chance,0
aig win awsuit announce dividend reinstatement,1
tivo buyout come sure strong late,1
big mistake day stick gut reversal soas number stick watchlist dk stp ana kog,1
ddd look easy short,0
instinct spot number think ctic hit number wk want stick morning watchlist chase,1
ax look good high price,1
cm hold,1
ana conference tomorrow guess hit number,1
nfx hear pjco cautious follow comscore datum follow weak december overall 4q traffic turn negative user,0
se pullback number initiate quick trade invest long stop tight sell aap egn ocn amh ddd nsm,1
piper jaffray make negative comment nfx cst ed box comscore q4 datum weak edbox netflix,0
maybe good time buy td number level appear hold key support level,1
csn option trader buy number jan number spread low oi indicate enter position number bet data bef jan number,1
aa go kids college fund,1
x option trader take profit feb26p sell 8k 8k oi rolling position feb 25p buy 8k number,0
green monthly triangle acadnet profit number number,1
far good apo earning strategy far soon win,1
aa go,1
aa hold key spx aa earning spx number mo later,1
week aa wfc apo mon,1
aa do not like spin operational cash flow,0
apo q1 number operational cash flow number million 90million decline vs number q1 number decline,0
ed weekly triangle amsnet profit number number,0
cm avg tho amwd coil breakout new high set buy stop slightly recent high,1
user jemberlin number good swing personally hate amd,0
spy spx es green hedges star model stop number spx number low,0
swhc look like ban large capacity magazine hurdle purchase table politician evening news,1
aa q4 operational cf decline 209 m vs q4'number number decine p spin say high q3 number note q3 ' number 263 m q3'number,0
ht close number sma barely 3rd time oct eps way watch volume number,1
user pwe crazy hao green weekly triangle short long,0
wt huge number seller today check daily hold number loook good swing,1
aj number good volume,1
cybx break time high accompaine strong volume suggest high level,1
onty look poised bounce si start turn macd crossing signal,1
trading uptrend channel shortterm uptrend intact I be bullish nvda,1
vvs vivus ceo eportedly say acquisition ' inevitable ' talk deal eporter jp morgan,1
user c runner,1
v long growth stock holding number month count,1
fio bounce morning number short interest air till 1790s,0
tol doji yesterday mean low high wait close cloud go short,0
amwd set nicely number strong building construction product group apog,1
tab like real reason new contract pick slack number ' small cell ' tech softwareasaservice,1
fs buy signal trigger,1
anf radar number,1
dgi ftd pivot range number number,1
hpq option trader buy 10k aug 13p number 780k bet stock number aug expiration stock hedge,0
faf new high holding need volume,1
ns perfect day reversal candle daily,0
voc actually triggerd yesterday closed line today itstrye vol number,1
add app,1
wfm add small number prefer number level lie short,0
mas watch list break flag today line volume number day ave,1
cmg 5 m descend triangle number avg volume,0
user ddd break bear flag upside ots short understand momentum catch stdy,1
dgi move,1
ssy maybe share outstanding short number million operational cash flow ttm trading number bil mkt cap,0
ssys operational cash flow decline number ttm vs ttm,0
cover number wac short number look low get book,0
vtx option trader buy number spread april number number strike big bet stock hedge,0
fs number hour nice bounce ichard,1
gnc nice inverse head shoulder nice pullback support previous boxbreakout,1
user hate number average end screw good nn,0
da nice run entry move stop breakeven,1
ed weekly triangle cticnet profit number 388gly wait number month,0
cw clearwire corp arge trade put bearish interest despite dish bid,0
apo strong push support wvolume,1
watch list hao slip line watch volume number day ave,1
bearish thing see week good overall market jpm spy esf,0
user bullish sell buy bearish market buy sell nx,0
voc watch list add tuesday run 50day ema vol increase number,1
ana getting breakout yest hold today present jpm conf today 630est,1
trade idea buy esc number target number cut number,1
swks decision come soonexpecte breakuplooke si macd tix,1
small dose reality ctic,0
vs option trader close feb 50c sell 12k 22k oi open position feb 55c sell 23k hard bid vs oi number,0
year ago apple introduce iphone world remember aapl sixyearsold,1
ew go long ew number ook like ready number wbreakout consolidation,1
ebay basing,1
short yhoo,0
chk thank jpm upgrade,1
dec number bbt cm initiate ssy buy number wonder buy number number day,0
user ssys eache si number crash near,0
ssq pull suspect uckily sell near number res tweet watch number bck,1
user day ma ipo triple position number ipo price number touch probably good stock,1
aap pf bullish,1
aap support break will not hesitate sell lot downside favor long,1
user eader ead bac question aap break week medium outlook look bright,0
green weekly triangle deposcale number,0
intel tobacco stockinteresting read analogyup intel guess dividend tasty intc,1
green weekly triangle fnfgscale number,0
faf ong number trail stop number number prior stop number number number number number,1
swy inside day hold number sma rsi hold number look like countertrend,1
despite weakness aap spy do not fill 2day 's gap reverse mere number away stock outperform aap day,1
ipx number,1
number number,1
xxia number,1
user shoot yhoo number,0
wpi buying look countertrend possible bear wedge will not happy close number day 50sma reevaluate,0
mon monthly game,1
ha eps estimate slash squeeze stock crash land look low number 's,0
tso long crack spread low number 's short vo good short,0
aap pain gain stay number high number low number,0
geoy trading number share worth number share dgi number x number number,1
china fix ing stdy,1
chk good info user user sp number thing rip imo,1
like skypeople fruit juice sp go aap wait,1
wh consolidate high gap support immediately price,1
mt beav set possible high price,1
mgm catch ange user,0
new post peter ynch'd stock md,1
fsc go exdividend tomorrow pay monthly number share payment jan 31st number yield,1
user 3dtradingtrader 31mio expend race offer depo,0
voxx user stock kudos friend,1
mcp perform expect red flag raise month tell,0
swy wsj cerberus supervalu strike deal source bid swy,1
se shoot ceco sm aci dmnd ns gcy bbg ef tm eoc xco vccf pq axas pst p kcg mnta nav pac,0
hpq number call number,1
aap daily pop vomit motion,0
mcp do not catch knife think survive define risk buy january number eap option forget till,0
px ong number move trail stop number number stop number number number,1
aap do not number 3min candle row far,0
aap red amazing time pattern repeat,0
user u do not miss go lower mcp,0
gdot make new high high macd bullish cross obv trend upwardstime fill gap,1
size position znga,1
fce trigger tue gap we d today imo think profit,1
goodbye faf act weak I have like,0
likin msft neg dvrgncehammer today goin quadruple longs w stop,0
wfc miss add,1
bac wait setup ook like retest number sure,0
mcp lot red flag ceo abruptly fire permanent replacement get attention,0
aap go to bounce hard number,1
gs look super strong,1
wait wschool number user jmba airport location generally pack good news user,1
gs want high,1
aap watch cs it be tell aap imo,1
bk add long,1
user long nfx number call number expire tomorrow number number need greedy expiring tomorrow,1
jnp add long,1
cee number min retest,1
aap trim number short exposure number level,0
aap low high low low intradaywhere big near term support,0
cult apple die aap,0
zionlook base breakoutcould touch triangle,1
hpq ocket noon,1
hpq ook volume nice number call,1
x take long exposure number number area bullish t look stock rip n dip rhythm want dry powder number trade,1
user sweet money need number scaling sell short csn,0
hpq man option cheap,1
user user shoot yhoo number number lololol,0
user lose number holding open recoup aap fb buy,1
te new short board utility sector,0
user tr8rx nice face check hban green weekly triangle sell short,0
green weekly triangle hbansell short number,0
user yea csn portfolio scale fix cost end profit,0
bac number wait pullback today,1
aap move number pivot today bullish tomorrow,1
aap get attention show strength actually jump,1
es spy spx hold breakout es future,0
aap catch leak news number,1
wfm get lift rally look like possible bear flag add short,0
ed weekly triangle heknet profit number number,0
v interesting reversal today,0
bac number cash listen siren r trade overnight gapp promise,1
hpq number ask tomorrow,1
sdjpy breakout close isk rally equity trader skis earning es spy spx,0
market underperform day thanks ddd ssys position stay long 3d printing aap keep green upside come,1
green weekly triangle heksell short number,0
fs solar market ise number percent number deutsche bank predict,1
nice user huge volume ms breakout today,1
price action say aap go die earning multiple chance break number do not,1
bn bish announce number increase holiday sale,1
cs nice number number dma nice base structure dailyweekly pattern,1
ocz ces number vegas nevada january 8th 11th progress,1
user t user user game readyscoregoal company get canadiangrown,1
do not tell user that be nice look diverse list 52week high jnj mmm gs oc f wag de,1
alarm bell re ddd investor ed flag highlight detailed research article,0
aap marketing chief phil schiller resort cheap iphone expand market share ete,0
squeeze squeeze slow grind high continue spy number esf number wfc well deliver good tomorrow,1
hsa come,1
user hsa good day,1
yhoo cramer kiss death thank bro bac jds cramer nudge user kifmonster,0
mgm hold long term resistance user mgm catch ange user,0
aon continuation good volume,1
nfx number number,1
zc number good volume,1
es spx spy star 4hour,0
doji like candle close today f signify possible retracement number number fib level watch closely bull run,1
swhc continue accumulate mar number call pull number,1
isis continue volume high number number easy big green move,1
user tso do not fool day move esp large drop trend stop say I be good,0
sm decent base ook poise break,1
user nfx let wkly number cas vey green ed good hold,1
tso user attach show fib old resistance stop upward stay,0
cgi ove trucking co buy pullback,1
qcom well play samsung snapdragon anti aap play good tech play,1
qcom view w blue sky,1
student debt trillion dollar bubble sm nni,0
cof approach key resistance level number break accelerate stock price,1
aon uptrend july thursday 's break suggest continuation upmove,1
gdot w bullish macd cross bullish si action matter time,1
bac fail break uptrend continue,1
user financials xf number ytd wells fargo wfc deliver moon today expectation,1
small step send cable tv 80 quality content exclusive nfx can not wait return ad,1
ong setup sm,1
user ddd 3d system win cnet best ces award cubex 3d printer,1
compq spx aap fb bac gd sv number characteristic successful trader,1
nkd sina breakout stocks watch list today buy high sell high,1
msft take number gap fill jan number number,0
ms morgan stanley hit 1st bull signal target call dec number,1
jcp cashflow distress do not sound good bs downgrade sell,0
market wrap video addition watch ist include aeg di ipx ng onty qih st xxia,1
goog far good premarket average help number today,1
hpq think new mutual fund money go,1
x add little,1
dk move darvas box eye volume,1
gf open new position number new uptrend start,1
bac effect wfc shod halfhour I be moderately bullish,0
user ng long setup,1
trend outsourcingworkforcei extremely strong especially medical industry asgn lot room grow drogen,1
aap climb 525ish take small step backward wedge form breakout imminent,0
hate reduce ddd position today get big portfolio bullish,1
aap take short exposure number,0
healthy desirable eventually little handleshakeout climb present number pivot stdy,1
ed weekly triangle mhnet profit number number,0
time goog warming lamp heat languish,1
green weekly triangle mhsell short number,0
goog average trading lag actually near low want strong support number,0
oc osing mkt share jds t look low price miss earning,0
wfc think green point today,1
user 3dtradingtrader number sell depo,0
top action short key number short cat number stop number ike trade ot,0
mdso ong number trail stop number number prior stop number number number number number number number,1
talk low priuced stock fly fce buy tuesday number gain way overbought,1
go number level aap,0
wpi whoopie that be stock nickname,0
nfx develop hge cuphandle pivot number,1
dnb volume spike ahead earning,1
s notice hge volume today thing push number today runner week,1
mcp craters management tell u biz suck sort red flag people bullish delusionnal youondrug,0
user iv have day today look apo number green day row dec 13th there be rip tear,1
st watch list lien bit volume number day average,1
apo number green day row far new high today,1
look sustain upward momentum friday 's option expire interest hold aap,1
bac hate analyst scrap beautiful day,1
big setup early week gnc probably run earning market expect huge number eport feb number long,1
bac it ' resilient stock,1
cat hold number level beautifully today cuphandle september january good market beak ot,1
gd try break dt line find support number sma ikely need gd hold number,1
f number possibility market close power hood,1
green weekly triangle ktospdate,0
de approach level short low number fib old,0
f evel ii ease bit allow possibility late day run,1
awk en fuego number,1
user welcome tk club,1
gtat healthy pullback low volume nice run heavy volumepositive macd divergence ong,1
tab user alexcampbello street see low go,0
sell number number number keep number position overnight,1
aap do not pricing want add short close,0
market look strong think financial catapult spx number week gs bac,1
breakout,1
ht bearish,0
green weekly triangle dnpdate,0
demand breast implant alltime high good bad economy agn old wallstrip,1
offhand include growth en y spf mho itb ad ttm htz dom wk emn po sca will fet bcei fxi hdb eve,1
wk number perf number stock ' number ddd dnkn ft invn kos nkd mov ntsp ax scco sca ssys v,1
nkd storm week number number gain dog week number 13for2013,1
cstr find support number ema nder number sma tho look short number ema add cloud break,0
pnra miss y short short number sma,0
nkd follow fb lead un number resistance user,1
sound random aa earning like week spx number mo,0
o short setup signal fire like 50sma reject weekly monthly time frame look like weakening,0
imm do not come xma bb10 xmas share aap smart time,1
user shadowtrade1134 think it be fair analogy vhs beat beta expensive aap,0
bear flag,0
pcn bull flag pennant,1
dndn nice vol expansion friday worth watch buck,1
border call showroomingi hope work tgtthe nature retail change,0
aap trend emain give sell signal,0
user sv super cheap stock appear get ready fill gap current price nice number,1
user jmixer ino jan number green weekly close long number broker do not share borrow,0
user jmixer wait number recharge weapon ino,0
ddd nice stpennant pattern ook breakout,1
iwd short number number,0
aap korea hot stocksg display fall talk apple order cut,0
sigh aap continue qqq I would love aap rebound negative news,1
aap imm apple reduce component order iphone number weak demand wsj say party ove,0
aap love I be,0
song aap bull,0
today day aap breaks number rest market do not care change divorce qqq spy,1
aap thing ask today day buy feb number put,0
aap number short cover blow system route nyseaca number est offerd number,0
aap number short cover,0
cs play lower,0
short aapl fridaygutsy get news need,1
aap number great long term buy ignore noise,1
thank amzn pricing fire number nov number et 's phone number wireless service number customer win,1
jnp acting add,1
aap bearish news start new downleg,0
amzn momentum well buy aap goog close number push number quickly,1
green monthly triangle chtpnet profit number number,0
pcn wait close number involve watch vome confirm uptrend continuation,1
aap send reminder nok,0
cmg good low riskreward short descending trend line core short bear call,0
coh close number extremely bullish watch,1
hpq heading number imo fund oade,1
bac swing trade number protect profit,0
remain convinced you be apple stock aap year sell middle ground,1
long aap breakeven eaiest I would sell number dividend hike happen pe number right fy14 ep number,1
csco come on number,1
aapl symmetrical triangle number min look topside breakout,1
aap drop number sep bc concern maybe number bump android phone sale mathfail oversell,1
aapl long early tweet topside breakout st,1
aap appear drag qqq spy stockaction,0
amzn snta ana rip today x set new alltime high,1
fom break friday 's high strong continuation higher likely resistance number,1
